PATERNITY;FIRST_LAST_NAME;PASSENGER_SEX;PASSENGER_BIRTH_DATE;PASSENGER_DOCUMENT;BOOKING_CODE;TICKET_NUMBER;BAGGAGE;DEPARTURE_DATE;DEPARTURE_TIME;FLIGHT_NUMBER;CODE_SHARE;FLIGHT_TO;AGE;FLIGHTS_QUANTITY
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;4640000000000000;Transit;20.03.2017;11:40;SU5627;Own;KHABAROVSK;24;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;UNPGCL;4550000000000000;Registered;27.04.2017;3:00;SU5616;Own;PETROPAVLOVSK;24;15
R;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;AVABBJ;3960000000000000;NULL;23.02.2017;8:00;SU5603;Own;VLADIVOSTOK;24;15
R;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;7110000000000000;Transit;25.02.2017;5:40;SU5618;Own;KHABAROVSK;24;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;2360000000000000;NULL;06.11.2017;9:15;SU1604;Own;SAMARA;24;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;QZWOGX;None;Transit;04.08.2017;19:25;SU5642;Own;NOVOSIBIRSK;24;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;VJGDCH;None;NULL;03.07.2017;8:05;SU5621;Own;KHABAROVSK;24;15
R;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;None;Registered;07.03.2017;19:45;SU5622;Own;YUZHNO;24;15
R;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;None;NULL;29.03.2017;7:30;SU5614;Own;PETROPAVLOVSK;24;15
R;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;KTXXYY;None;NULL;15.08.2017;6:25;SU1549;Own;MOSCOW;24;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;RMRXEZ;None;Transit;27.08.2017;13:30;SU1768;Own;PERM;24;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;PDNGDB;None;Registered;24.11.2017;21:35;SU1215;Own;MOSCOW;25;15
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;LCUDTM;None;Registered;14.06.2017;9:45;SU5617;Own;VLADIVOSTOK;24;15
MARKOVICH;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NVKZOG;None;Transit;13.02.2017;5:00;SU1167;Own;MOSCOW;26;14
MARKOVICH;AMIR MASLOV;Male;23.07.1990;8 816 864 475;CUXTDT;None;NULL;26.05.2017;5:05;SU6170;Own;MOSCOW;26;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NULL;None;NULL;29.03.2017;12:35;SU1371;Own;MOSCOW;26;14
VLADISLAVOVNA;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;7320000000000000;Registered;12.06.2017;8:05;SU5621;Own;KHABAROVSK;28;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NULL;3980000000000000;Transit;17.12.2017;3:10;SU1181;Own;MOSCOW;27;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NULL;None;Transit;08.08.2017;17:20;SU1521;Own;MOSCOW;27;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;LPGPRI;None;Transit;09.01.2017;23:05;SU1205;Own;MOSCOW;26;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;BBARQV;3910000000000000;NULL;23.01.2017;16:10;SU1160;Own;ROSTOV;26;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;None;NULL;09.07.2017;14:05;SU5615;Own;VLADIVOSTOK;28;14
VLADISLAVOVNA;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;None;Delayed;25.03.2017;14:20;SU4605;Operated;OKHA;28;14
VLADISLAVOVNA;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;None;Delayed;15.03.2017;13:50;SU4606;Operated;OKHA;28;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;None;Registered;13.10.2017;8:10;SU5626;Own;YUZHNO;28;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;ADXPMC;4330000000000000;Delayed;25.01.2017;10:55;SU5612;Own;MAGADAN;28;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;TULYHP;7960000000000000;Delayed;17.10.2017;8:00;SU5611;Own;VLADIVOSTOK;28;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;JOQAOT;8410000000000000;Delayed;15.04.2017;20:20;SU5624;Own;YUZHNO;28;14
VLADISLAVOVNA;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;EALNHB;3970000000000000;Transit;16.03.2017;12:10;SU4606;Operated;KHABAROVSK;28;14
VLADISLAVOVNA;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;CGTYDS;4670000000000000;Transit;01.04.2017;12:10;SU4606;Operated;KHABAROVSK;28;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;None;NULL;25.06.2017;13:05;SU4600;Operated;KHABAROVSK;28;14
VLADISLAVOVNA;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;DVPQQJ;None;Transit;19.02.2017;15:50;SU5613;Own;KHABAROVSK;28;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;8480000000000000;Delayed;22.06.2017;9:00;SU4599;Operated;NOGLIKI;28;14
MARKOVICH;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NULL;None;Transit;26.09.2017;6:00;SU1173;Own;MOSCOW;27;14
MARKOVICH;AMIR MASLOV;Male;23.07.1990;8 816 864 475;VOKOHW;None;NULL;03.07.2017;1:30;SU1522;Own;NOVYJ URENGOJ;26;14
V;KARINA NAUMOVA;Female;15.01.1989;5 293 500 602;NULL;None;Delayed;24.11.2017;7:30;SU5614;Own;PETROPAVLOVSK;28;14
MARKOVICH;AMIR MASLOV;Male;23.07.1990;8 816 864 475;FDVPZN;3090000000000000;Transit;31.10.2017;16:50;SU1362;Own;SARATOV;27;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;None;Registered;06.07.2017;20:30;SU5640;Own;KRASNOYARSK;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;LYHPEQ;5650000000000000;Transit;09.03.2017;12:10;SU4606;Operated;KHABAROVSK;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;SFEZRD;None;Delayed;15.05.2017;12:10;SU4606;Operated;KHABAROVSK;21;14
G;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;9460000000000000;Transit;11.04.2017;15:50;SU5613;Own;KHABAROVSK;21;14
G;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;2060000000000000;Registered;28.05.2017;16:35;SU5602;Own;KHABAROVSK;21;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NULL;8540000000000000;Registered;16.12.2017;1:50;SU1184;Own;VOLGOGRAD;27;14
G;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;4780000000000000;Registered;18.05.2017;14:00;SU5628;Own;YUZHNO;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;None;Transit;06.06.2017;11:40;SU5627;Own;KHABAROVSK;21;14
G;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;None;Delayed;26.05.2017;11:10;SU5605;Own;VLADIVOSTOK;21;14
G;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;LFGJCM;6130000000000000;NULL;31.03.2017;10:55;SU5612;Own;MAGADAN;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;IXHODU;6940000000000000;Delayed;22.06.2017;12:10;SU4606;Operated;KHABAROVSK;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;5860000000000000;Transit;18.06.2017;14:20;SU4605;Operated;OKHA;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;RUYOJF;818000000000000;NULL;09.06.2017;22:55;SU5643;Own;KHABAROVSK;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;VPJLSD;9430000000000000;Registered;15.04.2017;14:20;SU4605;Operated;OKHA;21;14
GLEBOVICH;MIKHAIL CHEBOTAREV;Male;30.08.1995;6 937 933 652;NULL;None;Delayed;08.06.2017;19:25;SU5642;Own;NOVOSIBIRSK;21;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;NULL;2460000000000000;NULL;31.12.2017;1:40;SU1108;Own;KRASNODAR;27;14
M;AMIR MASLOV;Male;23.07.1990;8 816 864 475;IBCTPN;None;Registered;22.03.2017;9:10;SU1370;Own;BELGOROD;26;14
MARKOVICH;AMIR MASLOV;Male;23.07.1990;8 816 864 475;EWTORH;1990000000000000;Transit;13.09.2017;14:20;SU1174;Own;ASTRAKHAN;27;14
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;SFPJSZ;7930000000000000;Transit;22.06.2017;15:10;SU6291;Own;VLADIVOSTOK;16;13
RADMIROVNA;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;BLMYAL;None;Transit;09.03.2017;21:45;SU1238;Own;UFA;16;13
ANDREEVNA;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;None;Transit;22.09.2017;9:00;SU4599;Operated;NOGLIKI;36;13
ANDREEVNA;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;JFCNZX;None;NULL;11.02.2017;13:50;SU4606;Operated;OKHA;35;13
ANDREEVNA;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;None;Registered;23.09.2017;13:05;SU4600;Operated;KHABAROVSK;36;13
A;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;HOPDIM;9700000000000000;Delayed;23.11.2017;8:10;SU5626;Own;YUZHNO;36;13
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;NULL;None;Registered;30.03.2017;7:30;SU1254;Own;NIZHNEKAMSK;16;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;4930000000000000;Registered;17.03.2017;21:35;SU1215;Own;MOSCOW;33;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;UDYFBV;617000000000000;NULL;29.05.2017;17:55;SU1143;Own;MOSCOW;33;13
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;ZKWWOP;None;Registered;13.04.2017;2:50;SU1251;Own;MOSCOW;16;13
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;NULL;3240000000000000;Transit;17.08.2017;7:55;SU1758;Own;VOLGOGRAD;16;13
ANDREEVNA;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;PWVZQH;None;Transit;26.07.2017;0:50;SU5653;Own;KHABAROVSK;36;13
ANDREEVNA;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;9240000000000000;NULL;28.02.2017;12:10;SU4606;Operated;KHABAROVSK;35;13
A;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;5720000000000000;NULL;29.07.2017;19:00;SU5601;Own;VLADIVOSTOK;36;13
A;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;DFYOYW;None;Transit;20.11.2017;23:10;SU5641;Own;KHABAROVSK;36;13
A;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;None;Delayed;18.10.2017;20:30;SU5640;Own;KRASNOYARSK;36;13
RADMIROVNA;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;NULL;8200000000000000;Delayed;04.12.2017;3:10;SU1181;Own;MOSCOW;17;13
RADMIROVNA;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;VEOWXY;None;NULL;21.06.2017;9:35;SU1237;Own;MOSCOW;16;13
RADMIROVNA;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;NULL;None;Registered;15.07.2017;10:20;SU4601;Operated;KOMSOMOLSK;16;13
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;NULL;None;NULL;15.08.2017;14:00;SU1703;Own;MOSCOW;16;13
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;NULL;None;Registered;11.03.2017;14:15;SU1439;Own;MOSCOW;16;13
ALEKSEEVNA;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;LODSJY;5800000000000000;Delayed;26.02.2017;22:50;SU1196;Own;KAZAN;19;13
A;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;8540000000000000;Delayed;28.08.2017;16:35;SU5602;Own;KHABAROVSK;36;13
RADMIROVNA;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;CSRZOU;4190000000000000;NULL;09.08.2017;13:10;SU4602;Operated;VLADIVOSTOK;16;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;3970000000000000;Registered;13.12.2017;11:10;SU1255;Own;MOSCOW;33;13
IANOVICH;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;118000000000000;Delayed;15.12.2017;19:45;SU1702;Own;VLADIVOSTOK;33;13
R;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;OOXYJI;None;Registered;02.10.2017;6:05;SU1356;Own;SARATOV;16;13
RADMIROVNA;EMILIIA KUPRIIANOVA;Female;05.11.2000;2 956 495 871;VMABYA;9310000000000000;Transit;13.10.2017;10:05;SU1357;Own;MOSCOW;16;13
ANDREEVNA;SNEZHANA FETISOVA;Female;12.07.1981;7 255 946 452;NULL;2240000000000000;NULL;30.06.2017;21:40;SU5652;Own;IRKUTSK;35;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;SZZITN;None;Transit;08.09.2017;15:40;SU1121;Own;MOSCOW;20;13
IANOVICH;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;VBOXPV;9870000000000000;Registered;07.12.2017;7:30;SU1254;Own;NIZHNEKAMSK;33;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;QSPNRT;None;Delayed;08.12.2017;19:00;SU5601;Own;VLADIVOSTOK;27;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;6830000000000000;Transit;29.12.2017;8:00;SU5600;Own;KHABAROVSK;33;13
IANOVICH;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;GRHBGA;9660000000000000;Delayed;14.02.2017;14:40;SU1324;Own;MURMANSK;33;13
IANOVICH;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;ZBPYYD;None;Transit;25.06.2017;22:30;SU1502;Own;TYUMEN;33;13
SEMENOVICH;MATVEI DOROFEEV;Male;12.11.1984;5 462 105 040;ZUVXKL;None;Delayed;27.05.2017;0:15;SU1206;Own;SAMARA;32;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;None;Transit;07.06.2017;16:35;SU5602;Own;KHABAROVSK;26;13
DEMIDOVNA;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;None;Transit;20.08.2017;9:00;SU4599;Operated;NOGLIKI;26;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;1640000000000000;NULL;19.11.2017;20:35;SU1363;Own;MOSCOW;33;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;GREFJL;5450000000000000;Transit;26.02.2017;6:40;SU1481;Own;MOSCOW;26;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;None;Registered;05.05.2017;7:20;SU1546;Own;ANAPA;33;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;RCAVYV;None;Registered;10.06.2017;8:05;SU5621;Own;KHABAROVSK;26;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;VDXWTE;1100000000000000;Registered;27.12.2017;10:30;SU5684;Own;PETROPAVLOVSK;27;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;None;NULL;27.06.2017;4:25;SU1503;Own;MOSCOW;33;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;None;NULL;14.02.2017;12:35;SU1759;Own;MOSCOW;19;13
DEMIDOVNA;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;None;Transit;06.09.2017;13:05;SU4600;Operated;KHABAROVSK;26;13
I;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;None;Transit;27.04.2017;9:10;SU1370;Own;BELGOROD;33;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;1870000000000000;NULL;13.09.2017;15:50;SU5613;Own;KHABAROVSK;26;13
IANOVICH;TIKHON ROZHKOV;Male;31.01.1984;7 933 752 359;NULL;None;Registered;05.11.2017;6:05;SU1356;Own;SARATOV;33;13
ALEKSEEVNA;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;None;Registered;27.04.2017;12:45;SU1367;Own;MOSCOW;19;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;1630000000000000;NULL;12.09.2017;19:45;SU1480;Own;KRASNOYARSK;20;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;None;Delayed;09.05.2017;14:45;SU1192;Own;KAZAN;19;13
ALEKSEEVNA;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;1440000000000000;Transit;03.07.2017;7:00;SU1279;Own;MOSCOW;20;13
ALEKSEEVNA;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;YSLTDW;None;Registered;16.06.2017;7:00;SU1279;Own;MOSCOW;20;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;WJNAWU;None;Registered;01.02.2017;17:30;SU1186;Own;VOLGOGRAD;19;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;None;Delayed;17.04.2017;21:35;SU1368;Own;STAVROPOL;19;13
A;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;4590000000000000;Delayed;05.01.2017;19:25;SU1769;Own;MOSCOW;19;13
DEMIDOVNA;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;785000000000000;Delayed;14.12.2017;7:05;SU4130;Operated;YUZHNO;27;13
ALEKSEEVNA;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;OODXSR;None;Registered;18.08.2017;12:35;SU1124;Own;SOCHI;20;13
ALEKSEEVNA;AMALIIA KOZLOVSKAIA;Female;08.06.1997;6 435 081 994;NULL;None;NULL;18.06.2017;22:40;SU1198;Own;KAZAN;20;13
DEMIDOVNA;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;7470000000000000;Registered;09.06.2017;8:10;SU5626;Own;YUZHNO;26;13
DEMIDOVNA;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;KZGFZO;None;NULL;07.09.2017;10:55;SU5612;Own;MAGADAN;26;13
DEMIDOVNA;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;HOUDSU;2050000000000000;Transit;05.06.2017;9:45;SU5617;Own;VLADIVOSTOK;26;13
D;ALEKSANDRA EREMEEVA;Female;28.10.1990;2 294 770 067;NULL;9910000000000000;NULL;19.12.2017;8:40;SU5625;Own;KHABAROVSK;27;13
S;MATVEI DOROFEEV;Male;12.11.1984;5 462 105 040;RDVHRC;None;Transit;08.04.2017;14:50;SU1058;Own;MAKHACHKALA;32;13
SEMENOVICH;MATVEI DOROFEEV;Male;12.11.1984;5 462 105 040;NULL;7380000000000000;Transit;13.04.2017;15:25;SU1058;Own;MOSCOW;32;13
SEMENOVICH;MATVEI DOROFEEV;Male;12.11.1984;5 462 105 040;ZOIITE;2500000000000000;NULL;31.03.2017;11:10;SU1255;Own;MOSCOW;32;13
RODIONOVNA;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;5400000000000000;NULL;20.03.2017;12:10;SU4606;Operated;KHABAROVSK;23;13
K;VERA KOLPAKOVA;Female;22.04.1983;185 106 233;NULL;None;NULL;01.01.2018;13:10;SU4602;Operated;VLADIVOSTOK;34;13
KIRILLOVNA;VERA KOLPAKOVA;Female;22.04.1983;185 106 233;YVCXMA;None;Transit;17.08.2017;19:25;SU5623;Own;KHABAROVSK;34;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;None;Delayed;10.01.2017;12:10;SU4606;Operated;KHABAROVSK;23;13
RODIONOVNA;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;None;Registered;18.09.2017;7:05;SU4130;Operated;YUZHNO;23;13
RODIONOVNA;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;RAYHCO;None;Registered;20.06.2017;7:05;SU4130;Operated;YUZHNO;23;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;TGPOKR;7960000000000000;Delayed;26.09.2017;0:10;SU5619;Own;VLADIVOSTOK;23;13
RODIONOVNA;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;None;Registered;17.03.2017;14:20;SU4605;Operated;OKHA;23;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;7060000000000000;NULL;25.09.2017;11:40;SU5627;Own;KHABAROVSK;23;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;LUSGNQ;None;Transit;01.05.2017;10:55;SU4131;Operated;VLADIVOSTOK;23;13
RODIONOVNA;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;TZIVDT;None;NULL;22.03.2017;8:10;SU5626;Own;YUZHNO;23;13
K;VERA KOLPAKOVA;Female;22.04.1983;185 106 233;GJQCMP;None;Registered;25.06.2017;19:45;SU5622;Own;YUZHNO;34;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;None;NULL;08.02.2017;19:25;SU5623;Own;KHABAROVSK;23;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;KDIHPG;None;NULL;05.02.2017;9:50;SU5620;Own;YUZHNO;23;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;5180000000000000;NULL;04.07.2017;8:00;SU5611;Own;VLADIVOSTOK;23;13
R;INNA LUKIANOVA;Female;14.10.1993;2 788 100 077;NULL;2250000000000000;Registered;17.10.2017;8:40;SU5625;Own;KHABAROVSK;24;13
S;MATVEI DOROFEEV;Male;12.11.1984;5 462 105 040;NULL;7570000000000000;Delayed;27.10.2017;0:00;SU1562;Own;IRKUTSK;32;13
MIROSLAVOVNA;MARINA DIAKOVA;Female;10.05.1999;931 650 989;NULL;None;Delayed;18.01.2017;8:10;SU5626;Own;YUZHNO;17;13
MIROSLAVOVNA;MARINA DIAKOVA;Female;10.05.1999;931 650 989;NULL;3620000000000000;Delayed;26.03.2017;22:00;SU1396;Own;SYKTYVKAR;17;13
M;MARINA DIAKOVA;Female;10.05.1999;931 650 989;ARLMZG;2380000000000000;Registered;15.08.2017;14:45;SU1330;Own;ARKHANGELSK;18;13
MIROSLAVOVNA;MARINA DIAKOVA;Female;10.05.1999;931 650 989;BOIWNL;None;Transit;12.09.2017;6:55;SU1451;Own;MOSCOW;18;13
KIRILLOVNA;VERA KOLPAKOVA;Female;22.04.1983;185 106 233;NULL;7320000000000000;NULL;19.01.2017;9:50;SU5620;Own;YUZHNO;33;13
I;DAMIR NIKONOV;Male;19.09.1980;9 154 853 684;NULL;2420000000000000;Registered;29.05.2017;16:20;SU1463;Own;MOSCOW;36;13
M;MARINA DIAKOVA;Female;10.05.1999;931 650 989;OAUYPZ;None;Transit;24.06.2017;2:15;SU1323;Own;MOSCOW;18;13
